复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
权柄 　　　　闪电划破乌云密布的天穹，瞬间把夜空照耀的白昼一般。
无限世界之战争之王 　　中国上海，E大体育馆。
天骄无双 　　茫茫林海之间，一场杀戮正在进行！
机动风暴 　　　　银白色的金属大殿，夸张的线条，不停闪烁的五彩光芒，都显示着这里属于一个高科技文明的世界，诺大的空间足以容纳上万人，各式各样的机器人正在繁忙的工作中，机器的人形态很多，有机械化的，有人类化的，也有各种生物化的，这说明一个问题，这个世界的科技度已经到了一个不可思议的地步。
火影鹿雪 　　“唉，好歹我也是画漫画的人，怎么差距那么大呢？要是我也是那个年代出生的，现在说不定也是一位大作家啊！”本作的主角正坐在电脑前悠闲的看着窗外的云彩，完全不顾电脑前那不停弹出的话语框。
龙珠之最强饿死鬼 　　四周一片黑暗，柳鹤只感觉睁开眼睛都有些困难，自己这是怎么了？太饿了吗？自己快要饿死了吗？也是，柳鹤现在才想起来，自己已经有十多天没吃什么东西了。
超能契约书 　　“超能契约书？”
超人漫威历险记 　　　　谢谢你的支持，你的支持就是我继续下去的动力，谢谢！！！
超时空垃圾合成系统 　　2015年7月14日早上九点多。
战耀星空 　　公元2888年。
极品龙套 　　　　“喂！你他妈知道什么叫龙套吗？”副导演赵达明指着我恶狠狠的骂着。
非典型门神 　　秦朗懒洋洋的翻了个身，打个盹还是挺爽的事情，尤其是偷懒没被老板发现，更是感觉赚大了！
斗罗大陆外传神界传说 　　　　云雾千变万化，忽而如同波涛滚滚、忽而如同静谧的美人，每一次变化并无规则，但却带给人更多美感与震撼。
火影之神级旅者 　　火之国，木叶村。
成为孙悟空 　　如果把西游记倒过来看，其实更精彩，
宋时归 　　　　萧言高高的举着手机，在山路上跌跌撞撞的走着。
生肖守护神 　　　　小三的新书先发上一章引子给大家看，冰火大概还有一周左右时间结束，那边一结束，新书就开始更新，请书友们先收藏吧，新书为都市异能转型作品，不一样的精彩哦.
超级异能空间 　　S市深南大道，随着车水马龙一辆豪华旅游大巴不紧不慢的行驶着。
朱雀记 　　　　一九七七年四月十五日，一个在黄历上平常的不能再平常的日子。
偷看剧本的亡灵法师 　　阿撒兹勒深渊一层，灼热而带着古怪焦臭的气息遍布了整个荒原，在厚积的雷云之下，终日不见天日的平原地区看不到任何一个正常的生命体，即使是植物，也只存在某些特殊的，能够抵抗高热和瘴气的变异品种。
死神红包 　　神州国金佛省远水县一中校门口，下午一点半。
网球王子之破发睡神 　　“27、28、29……啊！我做不了啦！”
都市之位面旅行家 　　　　灰蒙蒙的乌云笼罩在天际，如同一层厚厚的棉花，阻挡了所有阳光的照射。
冰火魔厨 　　　　非常感谢大家一直以来对小三的支持，开此新书，小三想写一套主角纯魔法的小说.当然，是怪异的魔法.魔法与厨艺的结合，希望大家喜欢.请书友们先收藏吧，当空速VIP完全结束时，本书将开始更新，暂定为8月1日，这套书一定会写出写新意来，大家继续支持小三.不论公众还是今后的VIP从8月1日开始，每天至少更新两章.
感染体 　　夜，很黑，很暗。
穿越了怎么可能不开后宫 　　一片灰蒙蒙的完全封闭的空间，四周全都是金属色的墙壁，只有空间的正中央有着一颗发着黯淡光芒的光球。
重生之盗尽天下 　　2006年7月，炎夏，中国，云南，丽江
垂钓诸天 　　榕城全国公认的最会生活的城市之一。
回到古代做皇帝 　　　　当陆允志迷迷糊糊睁开眼之时，觉得浑身乏力，还烫得厉害，他干涸的喉咙中几乎微不可闻的吐出了几个字：“水，水……”
韩娱之透视未来 　　时间：2004年春
我是科学鬼才 　　楔子·科学家100
次元末世之完美融合 　　“杀杀杀，不要怂就是干！”
海贼王之最强主播 　　夕阳西下，昏暗寂寥的海军基地刑场上，江立伏趴在地，凄惨的模样如同被轮少女。
极品领主 　　北林城，东凭危水，西依阙山。
无限之幻想位面 　　“如梦幻泡沫，转瞬即逝。”。
天外黑科技 　　在金陵理工的图书馆里，一个奇怪的男生占据了一整张桌子，他面前放着四本大部头的专业书，每隔三秒钟，他就会挨个翻页，整个图书馆都回荡着他翻页的声音。
步川小姐的贫穷物语 　　　　这里是十分普通的单身公寓。
山村小土豪 　　人这辈子，最痛苦的就是不知道自己想要什么。
绝品天书 　　　　1、惊现天书
重生西游之大道修仙 　　花果山下，一只胖胖的黑熊坐在地上，画着圈圈，诅咒着贼老天；
光之子 　　　　清晨，哇，好大的阳光啊，晒的我不得不睁开懒惰的眼皮，sigh,为什么我的屋子要朝阳面呢，cry，每天早上都要被这讨厌的太阳晒起来，
茅山弟子末世行 　　石门市汇海大酒店后厨，两排锃亮的灶台上，六七位热菜厨师戴着高高的厨师帽，按各自的菜单上下翻炒着，一派忙碌的景象。
不朽之路 　　一间不算豪华的驿站最大的客房中，外边站着许多人战战兢兢的看着里边，而在里边隐约能看到一个弱小的女孩身影，正在不断的擦拭着床上一个人的额头，甚至不断擦拭他****的上身。
绝世神豪系统 　　炎热的太阳炙烤着大地，憋闷的空气使林天今日格外的烦躁，来回拉扯着衣领，擦了擦额头上的汗水，默默地想着一会送完最后一份快递就找个凉快的地方呆着，打死都不动了。
最强明星厨神 　　“叮！【明星厨神系统】绑定宿主成功，您是本产品的第一位使用者，下面是您当前必须完成的主线任务：1.将厨艺提升至厨神级别。2.成为人气最高的明星厨神。3.创立世界最强美食品牌。
西游之八戒全能系统 　　“八戒，还不醒来，你想睡到什么时候！”
系统掠夺者 　　终于下班了，和平时一样，老板又拖了十几分钟。
一品江山 　　　　－
猎国 　　　　总的来说，夏亚雷鸣算是一个标准的“土鳖”。
洪荒世界直播间系统 　　“小伙子，你终于醒了！”
某科学的火影忍者 　　木叶忍者学校。
明末边军一小兵 　　　　风呼啸刮过，卷起一片尘土，吹得身上的衣衫也是猎猎作响。
海贼王之反派 　　【姓名】巴勃罗.迭戈.荷瑟.山迪亚哥.弗朗西斯科.德.保拉.居安.尼波莫切诺.克瑞斯皮尼亚诺.德.罗斯.瑞米迪欧斯.西波瑞亚诺.德.拉.山迪西玛.特立尼达.玛利亚.帕里西奥.克里托.瑞兹.布拉斯科.尤涅若
超级生物探测器 　　“莫邪回来了？报考了北科大？真是有出息了啊！”刚刚进村，一个中年妇女就喊道。
恶魔王族 　　序章
今天开始做女侠 　　“唐桂街菜市场的外面只有个4摄像头，但从这里到菜场的这条路上，却有17家商铺的摄像头刚好能够拍到外面的街景……”
我在废土捡垃圾 　　“难道非要退学？”班主任将胡谷一递交过来的申请书又退了回去。
天才战争少女 　　四周一片黑暗，什么都看不到。
不死不灭 　　　　
舰娘之火力提督 　　　　胡毅穿越了……
最强书友 　　穿越了！
都市土地公 　　夏日晌午，炽热的高温熏烤着柏油路，热的可以煎熟鸡蛋。路上没有多少行人，每辆车的窗户都关的紧紧的，空调奋力轰鸣。
神级硬盘 　　广袤宇宙，无边死寂，极尽黑暗，没有半点生命波动。
终焉领主 　　没时间解释了，快上车——不对，是没时间解释了，快逃跑，或者快动手！
独闯天涯 　　　　这是一个网游世界！
仙道之无限繁殖 　　谭颂眼睛湿润地看着村子里的人，哭泣地喊道：“各位，我舍不得你们啊。”
韩城浮生 　　2013年8月27日，夏季的太阳肆虐着大地，阳光漫射，火辣而热情。
火影之超级辅助 　　是夜，火之国，木叶村。
神变山海经 　　眺望远方，土黄色的山坡上寸草不生，光秃秃的像是被火烧过一样。
超神便利店 　　陆黎觉得自己的人生虽然不至于太过灰暗，但未来的前途大概也就那样子了，高考失利，与其读一个没什么用的专科，不如回家帮忙做生意好了。
魔兽要塞 　　西部荒野的清晨，东方出现了第一缕阳光。
盘龙之最强本尊 　　作为老书虫，萧维穿越了。
傲剑凌云 　　　　蓝月帝国的首都雅兰，将军府的一处别院内，一个十四五岁的华服少年，此刻正躺在一个很豪华的房间的床上，双目有些无神的看着头顶上镌刻着各种华丽花纹的天花板，少年身下铺着产自梵蒂亚雪山四角羚羊毛的褥子，盖的是装着威斯湖黑天鹅绒的被子，房间里随便一件摆设都价值千金，凌逍不知道皇宫是什么样的，不过就自己从典籍上所了解的那些皇宫，怕也就不过如此了吧？
轮回游戏空间 　　“卧了个糟！敢不敢脸再黑点！”
终极武力 　　第一章鸠占鹊巢
巫妖大BOSS 　　一个人能够称为BOSS，那是因为你有一颗真正敢幻想的心，然后付诸行动。
秋叶原拓荒史 　　霓虹国。东京。
魔法骑士英雄传说 　　　　雷尔斯：基本上是一个懒散的人，因为从小就是一名猎人，拿手是设立陷阱。为人似乎透着三分邪气，行事往往出人意表，生性随便，但有时也会冲动，也因此闯入神秘洞窟之中，最后莫明其妙的事件接踵而来，擅长操纵火系元素的魔法师，最终究竟是成为统一亚西亚大陆上的解放王还是大魔神还是未知之数。
核血机心 　　2123年，5月，22日长安城。星期六。
重生做明星 　　我多想回到家乡
贞观纵横 　　2016年10月31北京大唐医院，
韩娱小厨师 　　“刀要再快一点，不要因为害怕切到手指故意放慢速度，你想成为一个合格的厨师就要把刀当成自己的伙伴，你会害怕你的伙伴咬你一口吗。”
影视世界大抽奖 　　看着面前这扇散发着微微光芒的紫金大门，再看看周围一片白色，像是刚刚装修完的房间，贝阳感觉脑袋有些懵，有点搞不清楚这是什么情况。
未来军医 　　　　凌晨一点二十分，人口过千万的海滨城市昌海市也基本过了灯红酒绿的时间，该休息的休息，街道上也终于不堵车了，车流畅通快速。
神偷化身 　　　　新书发了，下面有直通车链接，求收藏，求推荐票，冲新书榜，谢谢大家。
执教天下 　　京都十里外有一座景色优美的小山，时维九月，属三秋之列，正是枫叶最红的时候，漫山遍野尽如火焰的世界。山顶有一座不大的青砖寺庙，僧人十余，还有一真正德高望重的老主持。寺庙后山，一条蜿蜒曲径通向了目所不及的枫林深处，小径尽头有凉亭，内有石桌一方，石凳两只，再加上周围无尽的枫树，这凉亭在繁华的大都市也算一处极为雅静之所。
魔运苍茫 　　　　“着，着，着！”三声低沉浑厚的怒喝从树林外沿百米开外传来，几乎在吼声传到的同时，三支银黄色的弩箭按照特定的顺序和方位组成一道诡秘的链锁向一道跃入半空眼看就要窜入树林的人影无声无息的罩了过来。
唯我独尊 　　　　秦立很想睁开自己的眼睛，却感觉到眼皮无比的沉重，重若千钧，脑中也是一片混乱，无数熟悉的、陌生的记忆纷纷涌上来，让他有种脑袋要被撑爆的感觉，忍不住呻吟出声。
娱乐之教师也疯狂 　　江南大学，作为全国排名前五的综合性大学，是千千万万学子渴望进入的高等学府。如今刚刚进入七月份，大学的期末考试已经结束，校内变得萧条起来，而江南大学负责行政后勤工作的老师却并不轻松，无论是新生入学还是毕业生就业都够他们忙一阵的。
游戏人生之我的主播系统 　　张枫，斗鱼直播平台的英雄联盟娱乐性小主播，请看清三个字“娱乐性”，为什么要着重讲这三个字呢，咳咳，其中特殊性不言而喻。
异界直播间 　　【大家注意，以下是主角的安乐死申请书，不是作者的……这章叫序章，不是前言。写的时候真没想到会吓到读者……sorry。】
元素高塔 　　林克，姓林名克，24岁。
万界神豪 　　“小妞，别装纯了，快把衣服脱了，老子给你打赏一辆跑车！”
疯狂游戏开发商 　　当时，墨无缺距离那包从天而降的辣条只有十公分....
极品女鬼收容所 　　接连三天晚上，秦岩看到小区门口的路灯下，站着一个身穿白色连衣裙的女孩。
仙路桃花传 　　这个世界是有神仙的。
叱咤风云 　　　　自从三天前从落日山脉回来之后，乾劲就一直把自己关在房间里，任凭室友怎么劝说也不肯出门见人。
文豪娱乐家 　　　　“这是哪里？我怎么会在这里？”
回到过去变成猫 　　　　东区大院最早出名的猫并不是焦家的黑煤炭，也不是“厚重沉稳”的大胖，更不是阿黄“黄公公”，那时候东区四贱客还没深入人心，可大院的孩子们却大多知道，他们院子里有一只黑猫警长。
银河霸主饲养手记 　　　　林有德总觉得如果去考试成绩发布现场看结果，得到的消息会和在家里用网络看的不一样——说不定自己顶着六月底的骄阳骑行几个小时到现场的诚意，能感动什么超然的存在，从而改写高考的成绩。
位面穿越之时空主神 　　在一座不知名的山峰上，一个18左右的少年，惊恐的看着面前四位黑衣人，四位黑衣人的手中都拿着一把黑色的手枪指着他，而他的身后则是一处悬崖。
吃在首尔 　　　　清晨的阳光从落地窗映入满是暖意的房间里，偶尔在枝头响起的一声清脆的鸣叫，意味着新的一天终于开始了。
我家后门通末世 　　“喂，超学啊，我是张友全，你四姐夫啊……”
遮天梦之起航 　　“生又如何，死又如何，从混沌中来，回混沌中去，万古青天一株莲......”
洪荒之帝皇证道 　　大劫落幕，鸿钧、逸尘相继离开了残破的洪荒西部大陆，离开了已经沦为废墟的须弥山。
文艺时代 　　　　1997年，京城。
洪荒之魔临万古 　　浩瀚的天空，苍茫无比！广袤的大地，深邃空荡一道，苍茫无际！
穿越清末重生为龙 　　夜已经很深了，但小巷子里的夜宵摊还亮着昏黄的灯，刚下夜班的赵无双正拖着疲惫不堪的身子，坐在老旧的长条凳子上吃着一碗热气腾腾的馄饨。
巫界之树 　　“哥哥，您终于醒啦！”
舌尖上的大宋 　　这个世界上最恐怖惊悚的事，无非是站在另一个角度看到自己的尸体。
极限维度扫描仪 　　宇宙历7038年。
极度末日 　　夜幕，静静的笼罩着洛西市。
昏君 　　　　第一章昏君
重生之大涅磐 　　　　－－－－－－－－－－－－－来自书友“晴鼓”
僵尸神警 　　夜半，一轮昏月高悬。
餮仙传人在都市 　　“忽如一夜春风来，千树万树梨花开。”
我是老爷爷 　　烈日当头，火红的太阳像是火炉一样挂在天空，丝毫不吝啬的将热量洒向大地。
网游之召唤大骑士 　　宇宙，浩瀚如海广袤无垠。
全能基地 　　在东北的冰城这一年的冬天比往年要更冷一些，而雾霾也比往年更加严重，路上的行人都，在捂着嘴口鼻匆匆的行走，刘洋一个人在漫步冰冷到处是雾霾天气中行走，静静的思考他未来的道路该何去何从。
大宇宙时代 　　　　强烈推荐一本好书，荆柯守的《易鼎》
洪荒之神皇纪元 　　　　在天地未开，鸿蒙未判之前，这片区域是一片灰朦朦的空间，这片空间无天地之别，无清浊之分，所有生灵将这种情况叫做混沌。但是混沌却不是什么都没有，至少在这其中还是有些生灵在混沌中荡漾的。
至尊无赖 　　　　如果某一天，忽然冲天的****运当头砸在你的头上，会如何？
紫川 　　　　“是谁说魔族军队很强的？”罗杰副旗本得意的望着山脚下如同潮水般溃退的魔族精锐部队，“看起来似乎我还更强上一点。”
凌天传说 　　　　红日初升，晨风浩荡。
美食的俘虏之食者无敌 　　“林肃，你自己能回去吗？”
末日箭神 　　“怎么又是红灯？”
我的青春恋爱物语不需要白色相簿 　　　　对于由比滨结衣来说，新年参拜的活动总是一件她特别重视的事情，无论是因为对传统的尊重也好，还是从小到大养成的习惯也罢，新年的第一天，郑重其事地换好衣服，和家人或者朋友去参加新年参拜，总归是一件十分重要的事情。
我的私人漫威系统 　　　　最后一点落日的余晖消失在天际，夜幕缓缓笼罩大地。
龙珠之超级弗利沙 　　疼！
鬼喊抓鬼 　　　　这场暴雨已经下了数小时，凌晨三点的天空乌云滚滚电闪雷鸣。王诩披着雨衣拿着铁铲出了门，朝着公寓旁的那片坟地走去。
死界游戏城 　　D市，Joker酒吧。
变身极品校花 　　情人节，傍晚。
星神兵王 　　星历1716年夏夜，天星异动。
银河称霸指南 　　点击电脑屏幕右下角的时间，弹出了系统的月历，看着已然是周日，白仲祺不由悠悠懒懒地叹了一口气，自言自语地说道：“这个感恩节假期还真是短啊，感觉还没干什么，就要过去了。”
奥术神座 　　　　浓烟滚滚，每吸一口都发出破烂风箱般粗重的声音，像是在灼烧着咽喉和肺部，夏风的意识很快就模糊起来。
重生之蚊道人 　　“河上姹女，灵而最神，得火则飞，不见埃尘，鬼隐龙匿，莫知所存，将欲制之，黄芽为根……”
神秘宝箱 　　初春，雨夜，清江县一中。
地府大帝 　　杜玄醒了过来，发现自己出现在一个古色古香的房间之中。
疯巫妖的实验日志 　　　　“我是个好人。”
盗墓笔记 　　　　50年前，长沙镖子岭。四个土夫子正蹲在一个土丘上，所有人都不说话，直勾勾盯着地上的洛阳铲。
始皇驾到 　　“电视机前的各位观众你们好，现在秦始皇陵的发掘工作已经到了最后的阶段，预计一切顺利的话，今晚考古学家们将打开秦始皇陵的地宫，届时这位中国历史上的第一位皇帝的陵墓将展现在所有人的面前……”电视画面中，一位年轻漂亮的女记着正站在一个被挖开的大土坑的边上，然后字正腔圆地对着摄像机解说到。
焚寂星空 　　叮铃铃……
猛鬼收容系统 　　夜色冷清，室内灯光昏暗，窗外有微风吹拂。
惟我独仙 　　　　天空中，两道身影相隔千米对视着。其中一道身影，脚踏七彩祥云，全身不断散发着柔和的金色光芒。他看上去二十多岁，一脸肃然之色，身形挺拔，全身笼罩着一层淡淡的仙气。
体坛多面手 　　“【体坛奇才系统】绑定宿主成功，扫描宿主身体完毕。”
崇祯有家店 　　月光皎洁，虫鸣啾啾，今日的大明百姓甚至觉得天空的月亮特别的圆，祸害大明的魏忠贤九千岁，终于要倒台了，被刚刚登基几个月的崇祯皇帝打倒了。
杀神永生 　　虞井，19岁，华夏国十九区C级县城中的一名普通高三学生。
王者荣耀之最强战队 　　【第一章】
火影之最强阴阳师 　　清晨，阳光穿透树叶的遮挡，洒满了整个院子，这里是木叶边缘的一座小木屋，很是清静。
盛世武神 　　　　赵都，西环郊区。
盘龙之大地传说 　　恩斯特学院，整个玉兰大陆排名第一的魔法学院。
张三丰异界游 　　话说一代宗师张三丰从小随身佩带一块太级形的玉石，他只知道此物在他记事的时候就带在身上，却不知道这玉石就是上古十大神器之一的‘太级魂石’。太级魂石可令修炼者事半功倍，且百邪不侵，原本是原始天尊随身所配之宝，不慎失落凡间。当张三丰太级神功大成之后，身上外泄的真气刺激太级魂石发出神光，被原始天尊所察觉。原始天尊欣喜之下用法术收回了太级魂石，不料同时也把带着太级魂石的张三丰招到了跟前，原始天尊不惊反喜，看到张三丰资质惊人便收做关门弟子。张三丰不负众望，苦修数百年，由武入道，自创‘太级神功’的道修版。曾与愕吒三太子堵战，三天内破不了他的防御，结果赢了三太子的混天凌。原始天尊又将混天凌用天河银沙，赤炼梧桐等物从新祭练，并在天火中淬练多回，把混天凌内封存的三足金乌练化为炫亟天火之身，练毕之后的混天凌光泛七彩，若隐若现，一只紫色三足金乌与其内尽情遨游，重取名‘七彩混天凌’，原始天尊又赐予了两件神器级的宝物，就放他四处云游了。一件是‘佛祖金莲’，本是如来坐下金莲，堵棋输于原始天尊的，此金莲不仅可用以攻防，还有其他诸多神气妙用，在神界中是最顶级的法宝。另一件更了不得，乃是原始天尊压箱底的宝物‘昊天神剑’，此神剑据传是整个星系压缩而成，被原始天尊于天火中祭练了数万年乃成，号称九天十地诸般神魔两界内无坚不摧，以原始天尊之能也不过发挥神剑三成的神威，张三丰只能用出一成的效果，神魔两界就少有人挡了。顾此，别人都叫他三宝道人。张三丰奉师命云游，结识了孙大圣，不打不相识，结为兄弟，被孙大圣撺掇着跑到西方神界，又认识了鬼精灵的雅典娜。三个人都是没事惹事的主，把个西方诸神搅了个天翻地覆，被西方诸神‘亲切’的称为‘三害’。后孙悟空成功泡上了嫦娥归隐花果山，剩下两个也坠入爱河隐居奥林匹亚圣山顶的雅典娜神宫，却不料招来一场灭顶大祸！
全能闲人 　　　　“刚才那位同学问，我的人生哲学是什么，我可以回答她……”
随遇萝安 　　“小馨，再不起来就要打屁股了哦~”门外轻挑的声音响起。
美国英雄 　　炎炎夏日，燕京大学图书馆里面空调开得冷飕飕，门外的世界却遭受着天地烘炉的炙烤，仿佛天公发怒，要把这整个人间煮熟一般。
游戏宗师 　　秦浩南坐在自己的小床上，心情实在是难以平复。他穿越了，真真实实的穿越了。
雅骚 　　　　三痴兄果然写明未了,和天图推测得一模一样，很有成就感，显摆显摆。
魔兽世界大直播 　　“咳咳……，水友兄弟姐妹们，现在我要**OSS了，大家猜猜看会不会出星光龙。”
山海无限镜花缘 　　三月的长安城，春风料峭，欲暖还寒。清晨时分，西市开远门左近的长隆货栈内，陡然传出令人毛骨悚然的叫喊声。
重生松鼠大作战 　　清晨，从枯黄松针和细软草絮搭建而成的窝巢中钻出，陆丰用前爪挡在乌溜溜的大眼前，遮挡着还有些许刺眼的阳光。
整形医院小相师 　　真州市天气炎热，天上像是下了火，先前几天刚刚铺完的柏油路，已经冒着热气，那边刚有个穿着短裙的美女，人字拖被粘在了地面上，叫喊着，在同伴的帮助下才脱离了脚底的束缚，挣扎间，裙裾飞扬，纯白修长的美腿，依稀有着红色斑点的****吸引了无数路人的目光。
西游记里没有妖怪 　　我的名字叫做江流儿，出生于南瞻部洲，大唐国人士。
官运之一飞冲天 　　天大毕业的高才生刘天参加了北省的公务员考试，他已第一名的身份被录取，被分配到武县土山乡做副乡长。来到乡政府门口，看着眼前的一切，他内心澎湃。做为一名有理想有抱负的青年，他希望自己以后可以走的更高更远，他不是为了个人的名利，他是希望用手中的权利来为百姓做点实事，带领大家致富。
老九门 　　1903，日本人大谷光瑞，以宗教考察的名义进入中国腹地，进行地理勘探方面的情报工作，在途径中国长沙时，他所带领的探险队分支，在日本商人鸠山美志的带领下，在长沙城北一百六十公里的一座山镇里停留了将近三个月时间，离开的时候，考察队只剩下六个人，一周后，鸠山美志向日本日清贸易研究所转外务省提交了一份16页的报告，史称鸠山报告。在报告中提到了这个山镇底下埋藏的“东西”。
梦幻空间 　　　　“我回来了！”随着声音接着“乓！”的一声门被一脚踢开，接着一个身穿白色短衬衣，下穿黑色西装裤，手拿黑色书包的少年正在门口脱鞋。
材料帝国 　　　　今年6月的某一天，我无意中打开起点，看到了齐橙大大的大作《材料帝国》，不过这个听上去霸气的名字并没有一开始就让我有看的想法。
不会魔法的魔法师 　　　　
玄界兽神 　　2001年，秋天。
都市驱鬼师 　　这是一个普通的汽车站。
问鼎至高 　　第1章
民国武神 　　2016年10月9号，重阳节16时32分
纨绔疯子 　　　　江南省汾江市。
高官 　　　　这天，到处是白光，白得晃眼，白得让人眼晕，白得像张A4白纸。
上品寒士 　　　　“未若柳絮因风起。”
超时空大帝国 　　　　明媚的阳光照耀在大地,从头顶上已经西斜的太阳证明现在的时间应该是下午时分了。
深海提督生存攻略 　　睁开眼睛的瞬间，王升就知道自己穿越了，如果不是这样的话无法解释自己面前这洋溢着二十世纪上半叶装饰风格的房间到底是怎么回事。
数据江湖 　　一道急促的流星划过天空，分开了武朝漆黑如墨的夜空，稍纵即逝，但是武朝人们却不知道，这意味着什么。
重生萝莉 　　“哈哈哈，是吗，你喜欢哪种萝莉呢？”陈谊对对面坐着的一个身着白色歌德萝莉装的金发碧瞳小萝莉道。
黑锅 　　　　铃…铃…铃………
能力掠夺者的旅程 　　　　林修是某高中二年级的学生，初中的时候是个学习成绩优秀，脸白皮嫩朋友成堆的帅小伙。
永恒王权 　　午后的阳光懒懒散散，一幢别墅的阳台上。一名大概11岁左右的小男孩正抱着一本精致的书籍细细品读着。
盾战士的悠闲生活 　　李勋连门都来不及锁就疯狂的往楼下冲，什么等电梯，不过十一楼而已。跑的太急了，李勋一脚踩空，直接从五楼半滚到五楼，用手摸了摸额角，出血了，李勋笑了起来，刺目的红和浑身上下传来的痛感告诉他。
宝井 　　　　清晨，朝露恋花，乳燕思巢，初春的季节，天气微寒，空中飘散着一丝雾气。
死灵法师 　　　　随着高度越来越下降，原来厚厚的云彩在我的脚下散开，一个城市出现在我的视野里面，一个漂亮的城市！如果我的估计没有错的话，这里就是我的目的地，马尔提林城。
修真门派掌门路 　　燃灯如豆，满室檀香，斗室封闭无窗，只在中央放着一张小几，上放香炉一座，油灯一盏，经书两卷，一曰“黄庭”一曰“长春”。
阴阳师养成计划 　　流光看着墙上那几幅栩栩如生的画，不由得咽了口唾沫。
盛唐剑圣 　　北风呼啸，夜幕降临，燕云一地，陷入一片死寂。
抓只妖魔当老婆 　　九月，秋风怡人。
现实副本攻略指南 　　凝视着对方手中的四张卡牌，许钰的额头之上出现了汗水，对方的指尖停留在了中间的卡牌之上，许钰的呼吸顿时停顿了，时间似乎就此停止了一般，只见那人的脸上露出了不屑的笑容，以轻佻的姿态夹起了一张卡然后将卡牌在半空中进行了旋转，剩下的三张卡消失了，只有一张卡在半空中不断的旋转着，许钰已经看见了自己的结局。
地球纪元 　　　　“我们人类文明看似繁花似锦，我们可以凿穿高山，可以填海造陆，可以控制降雨……我们人类文明看似很强大。但这只是表象，事实是，我们很脆弱，十分脆弱。”李奇抿了一口酒，慢慢的对着坐在自己对面的赵华生说道。
来自天界的起点红包 　　昏暗的房间，烟雾缭绕，只有一台电脑发着微光。
美漫之复制强者 　　敲门声响起，凌乱的房间之中一大团像是一条蠕虫一样的被子之中，一只枯瘦的手臂伸了出来！
足球之召唤千军 　　“呕，呕，呕”。
血诡世界 　　华夏国中部。
诸天洪荒录 　　“今天出门才看的天气啊！不应该是这样的天气啊？”望着阴沉的天气，李浩宇有些不解，同时还拿出手机的气象软件看了看，再三的确认一下！
迷失大陆 　　　　黄昏，夕阳把最後的余光投到这片美丽的山坡上，小草反射出金黄的阳光，使山坡好象在绿色内衣外穿上一层金色外套。平时无人的山坡上现在却有俩个十二三岁的年轻人在欣赏著难得的美景。 
我在末世有艘航母 　　在叶羽的记忆中，这一次的尸潮是灾变三十年来最为恐怖的一次，腐烂的尸体填满了护城河，城下堆积的尸体终于漫过了城墙，远方的丧尸像沙尘暴一样席卷着一切，丧尸的怒吼盖过了耳边的枪炮声，叶羽的身体被奔袭的丧尸浪潮一卷而过，他最后望了一眼身后的幸存者基地，缓缓的闭上了双眼。
随身带着洞天仙境 　　蓝星，龙国，老城。
都市系统之王 　　用钢筋混凝土铸造的都市，白天显得热闹繁华，而到了夜晚，脱去了一身的伪装，在夜色的衬托下，显得格外的冰冷。就是在这样的夜里，一条十分偏僻的小道内，上演着这样一幕情景。
鬼吹灯II 　　　　我祖上有卷残书，是“摸金校尉”前辈所著《十六字阴阳风水秘术》，此书共有一十六字寻龙诀语，“风水秘术”属于术数的一个分支，然而何为术数？术数之兴，多在秦汉以后，《易》为其总纲，其要诣不出乎阴阳五行、生克制化，实皆《易》之支派，傅以杂说耳。物生有象，象生有数，乘除推阐，务穷造化之源者，是为数学。星土云物，占侯指迷，见于经典，后世之中流传妖妄，渐失其真，然不可谓古无其说。自是以外，末流猥杂，不可殚名，《史》《志》将之概总以“五行”。
名侦探柯南之大叔 　　RB东京，米花町，毛利侦探事务所。
史上第一混乱 　　　　我真倒霉，真的。
隐杀 　　　　
最强狂暴作弊系统 　　范浪昨天晚上浪了一夜，甚至都不记得后来发生了什么。
龙蛇演义 　　　　十二月上旬的一天晚上，天气突然转寒，一夜之间，北风呼啸。雪花洋洋洒洒地飘了下来，等到刚刚天亮，地上已经落了厚厚一层。
韩娱之魔女孝渊 　　　　2004年1月1日，星期四，作为一年伊始，韩国上下都十分热闹，商家们的促销吸引了大批妈妈级的家庭主妇。整个汉城的街道都充斥着欢天喜地庆元旦的人。
食戟之最强美食系统 　　“完成一百人份任务，得到奖励：远月学园插班生入学申请书
文娱救世主 　　2000年3月，汉城九老区的WEMADE游戏公司门口。
